feature,rf_importance,xgb_importance,mean_importance
interact_biology_science,0.0468,0.092,0.0694
technical_orientation,0.0463,0.0882,0.0672
interact_design_creativity,0.0472,0.0674,0.0573
coding_interest,0.0522,0.0539,0.0531
research_orientation,0.0429,0.0618,0.0524
biology_interest,0.0563,0.0412,0.0488
business_orientation,0.0414,0.0562,0.0488
healthcare_orientation,0.0437,0.0475,0.0456
education_orientation,0.0352,0.0554,0.0453
research_interest,0.0501,0.0362,0.0432
design_interest,0.0529,0.029,0.0409
teaching_interest,0.0198,0.0572,0.0385
interact_coding_analytical,0.0519,0.021,0.0365
business_interest,0.0365,0.035,0.0357
entrepreneurship_interest,0.0323,0.0333,0.0328
creative_orientation,0.0417,0.0235,0.0326
interact_teaching_helping,0.0362,0.0132,0.0247
stem_aptitude,0.0158,0.0295,0.0226
interact_business_leadership,0.0326,0.0114,0.022
leadership_potential,0.015,0.0231,0.0191
people_helping_interest,0.0246,0.0081,0.0164
social_aptitude,0.0194,0.0098,0.0146
stem_vs_social_ratio,0.0209,0.0078,0.0144
creative_index,0.0093,0.01,0.0097
score_variance,0.0039,0.0148,0.0093
creativity,0.011,0.0056,0.0083
humanities_aptitude,0.0092,0.0071,0.0081
interact_leadership_expr,0.0116,0.004,0.0078
personality_profile,0.0109,0.0038,0.0074
research_aptitude,0.0085,0.0043,0.0064
interact_quant_reasoning,0.0083,0.0038,0.0061
leadership,0.007,0.0046,0.0058
english_score,0.0064,0.0046,0.0055
science_score,0.007,0.0029,0.0049
interact_creative_comm,0.0058,0.0039,0.0049
interact_scientific_rigour,0.0052,0.0042,0.0047
academic_overall,0.0056,0.0036,0.0046
math_score,0.0049,0.0036,0.0042
personality_extremity,0.0049,0.0023,0.0036
conscientiousness,0.0027,0.0036,0.0031
communication,0.004,0.0022,0.0031
analytical_thinking,0.0031,0.0027,0.0029
work_ethic,0.0028,0.0025,0.0027
extroversion,0.0033,0.002,0.0027
extracurricular,0.0027,0.0022,0.0024
